,BaseLoad,P_EV,P_WB
2024-01-06 20:45:00,0.3814661074092313,0.0,0.0
2024-01-06 21:00:00,0.30141886401958096,0.0,0.0
2024-01-06 21:15:00,0.3175521973529143,0.0,0.0
2024-01-06 21:30:00,0.39355219735291425,0.0,0.0
2024-01-06 21:45:00,0.4886208789411656,0.0,0.0
2024-01-06 22:00:00,0.14875627509287487,0.0,0.0
2024-01-06 22:15:00,0.24237593972558782,0.0,0.0
2024-01-06 22:30:00,0.21390927305892113,0.0,1.4
2024-01-06 22:45:00,0.1957550607844221,0.0,3.0
2024-01-06 23:00:00,0.22591391005631706,0.0,3.0
2024-01-06 23:15:00,0.42978057672298375,0.0,3.0
2024-01-06 23:30:00,0.6745570757060069,0.0,2.2
2024-01-06 23:45:00,0.3824237423726735,0.0,2.2
2024-01-07 00:00:00,0.3214904090393401,0.0,1.4
2024-01-07 00:15:00,0.18839510317132058,0.0,0.0
2024-01-07 00:30:00,0.22188553068624764,0.0,0.0
2024-01-07 00:45:00,0.27361886401958097,0.0,2.8
2024-01-07 01:00:00,0.126218864019581,0.0,0.8
2024-01-07 01:15:00,0.05031043947058286,0.0,0.0
2024-01-07 01:30:00,0.18866666666666668,0.0,0.0
2024-01-07 01:45:00,0.11633333333333334,0.0,0.0
2024-01-07 02:00:00,0.044,0.0,0.2
2024-01-07 02:15:00,0.234,0.0,2.2
2024-01-07 02:30:00,0.12000000000000001,0.0,0.6
2024-01-07 02:45:00,0.044,0.0,2.6
2024-01-07 03:00:00,0.10600000000000001,0.0,0.0
2024-01-07 03:15:00,0.199,0.0,0.0
2024-01-07 03:30:00,0.044,0.0,0.0
2024-01-07 03:45:00,0.2086666666666667,0.0,0.0
2024-01-07 04:00:00,0.14533333333333334,0.0,0.0
2024-01-07 04:15:00,0.044,0.0,2.0
2024-01-07 04:30:00,0.044,0.0,0.0
2024-01-07 04:45:00,0.17833333333333334,0.0,0.0
2024-01-07 05:00:00,0.12666666666666668,0.0,0.0
2024-01-07 05:15:00,0.18333333333333332,0.0,0.2
2024-01-07 05:30:00,0.17066666666666666,0.0,3.0
2024-01-07 05:45:00,0.044,0.0,1.4
2024-01-07 06:00:00,0.044,0.0,0.0
2024-01-07 06:15:00,0.09566666666666666,0.0,0.0
2024-01-07 06:30:00,0.199,0.0,2.0
2024-01-07 06:45:00,0.16833333333333336,0.0,2.6
2024-01-07 07:00:00,0.196,0.0,3.0
2024-01-07 07:15:00,0.044,0.0,3.0
2024-01-07 07:30:00,0.044,4.666666666666667,3.0
2024-01-07 07:45:00,0.044,7.0,3.0
2024-01-07 08:00:00,0.168,0.0,0.8
2024-01-07 08:15:00,0.22566666666666668,0.0,0.0
2024-01-07 08:30:00,0.22133333333333335,0.0,0.0
2024-01-07 08:45:00,0.044,0.0,0.0
2024-01-07 09:00:00,0.044,0.0,0.0
2024-01-07 09:15:00,0.044,0.0,0.0
2024-01-07 09:30:00,0.08533333333333333,0.0,0.0
2024-01-07 09:45:00,0.26839999999999997,0.0,0.0
2024-01-07 10:00:00,0.26766666666666666,0.0,0.0
2024-01-07 10:15:00,0.06966666666666667,0.0,2.4
2024-01-07 10:30:00,0.057,0.0,0.0
2024-01-07 10:45:00,0.046599999999999996,0.0,0.0
2024-01-07 11:00:00,0.044,0.0,0.0
2024-01-07 11:15:00,0.19566666666666668,0.0,0.0
2024-01-07 11:30:00,0.3373333333333334,0.0,0.0
2024-01-07 11:45:00,0.082,0.0,0.0
2024-01-07 12:00:00,0.044,0.0,0.0
2024-01-07 12:15:00,0.044,0.0,0.0
2024-01-07 12:30:00,0.044,0.0,0.0
2024-01-07 12:45:00,0.08766666666666666,0.0,0.0
2024-01-07 13:00:00,0.389,0.0,0.0
2024-01-07 13:15:00,0.13833333333333334,0.0,0.0
2024-01-07 13:30:00,0.044,0.0,0.0
2024-01-07 13:45:00,0.044,0.0,0.0
2024-01-07 14:00:00,0.044,0.0,0.0
2024-01-07 14:15:00,0.044,0.0,0.0
2024-01-07 14:30:00,0.32466666666666666,0.0,0.0
2024-01-07 14:45:00,0.24633333333333335,0.0,0.0
2024-01-07 15:00:00,0.044,0.0,0.0
2024-01-07 15:15:00,0.044,0.0,0.0
2024-01-07 15:30:00,0.044,0.0,0.0
2024-01-07 15:45:00,0.044,0.0,0.0
2024-01-07 16:00:00,0.21666666666666667,0.0,0.0
2024-01-07 16:15:00,0.313,0.0,0.0
2024-01-07 16:30:00,0.08533333333333333,0.0,0.0
2024-01-07 16:45:00,0.044,0.0,0.0
