,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-08-01 21:13:00,1.0,20.0,22.68128939010032,22.373529352690415,22.87,0.3258480176488709
2024-08-01 21:14:00,1.0,20.0,22.680953405331866,22.37405490960679,22.87,0.3258480176488709
2024-08-01 21:15:00,1.0,20.0,22.680618393862893,22.374579298948998,22.87,0.3258480176488709
2024-08-01 21:16:00,1.0,20.0,22.680284353269574,22.375102523569755,22.87,0.3258480176488709
2024-08-01 21:17:00,1.0,20.0,22.679951281134056,22.37562458631475,22.87,0.3258480176488709
2024-08-01 21:18:00,1.0,20.0,22.679619175044447,22.376145490022676,22.87,0.3258480176488709
2024-08-01 21:19:00,1.0,20.0,22.679288032594798,22.376665237525234,22.87,0.3258480176488709
2024-08-01 21:20:00,1.0,20.0,22.678957851385093,22.37718383164715,22.87,0.3258480176488709
2024-08-01 21:21:00,1.0,20.0,22.67862862902123,22.377701275206206,22.87,0.3258480176488709
2024-08-01 21:22:00,1.0,20.0,22.67830036311501,22.37821757101324,22.87,0.3258480176488709
2024-08-01 21:23:00,1.0,20.0,22.677973051284123,22.378732721872176,22.87,0.3258480176488709
2024-08-01 21:24:00,1.0,20.0,22.67764669115213,22.379246730580032,22.87,0.3258480176488709
2024-08-01 21:25:00,1.0,20.0,22.677321280348448,22.379759599926945,22.87,0.3258480176488709
2024-08-01 21:26:00,1.0,20.0,22.676996816508343,22.38027133269618,22.87,0.3258480176488709
2024-08-01 21:27:00,1.0,20.0,22.676673297272902,22.38078193166415,22.87,0.3258480176488709
2024-08-01 21:28:00,1.0,20.0,22.676350720289037,22.38129139960044,22.87,0.3258480176488709
2024-08-01 21:29:00,1.0,20.0,22.676029083209453,22.381799739267812,22.87,0.3258480176488709
2024-08-01 21:30:00,1.0,20.0,22.675708383692644,22.382306953422233,22.87,0.3258480176488709
2024-08-01 21:31:00,1.0,20.0,22.675388619402877,22.382813044812877,22.87,0.3258480176488709
2024-08-01 21:32:00,1.0,20.0,22.675069788010177,22.38331801618216,22.87,0.3258480176488709
2024-08-01 21:33:00,1.0,20.0,22.67475188719031,22.38382187026574,22.87,0.3258480176488709
2024-08-01 21:34:00,1.0,20.0,22.674434914624776,22.38432460979255,22.87,0.3258480176488709
2024-08-01 21:35:00,1.0,20.0,22.674118868000782,22.384826237484795,22.87,0.3258480176488709
2024-08-01 21:36:00,1.0,20.0,22.67380374501125,22.385326756057985,22.87,0.3258480176488709
2024-08-01 21:37:00,1.0,20.0,22.673489543354773,22.385826168220945,22.87,0.3258480176488709
2024-08-01 21:38:00,1.0,20.0,22.67317626073563,22.38632447667583,22.87,0.3258480176488709
2024-08-01 21:39:00,1.0,20.0,22.672863894863756,22.386821684118154,22.87,0.3258480176488709
2024-08-01 21:40:00,1.0,20.0,22.672552443454727,22.38731779323678,22.87,0.3258480176488709
2024-08-01 21:41:00,1.0,20.0,22.672241904229757,22.38781280671396,22.87,0.3258480176488709
2024-08-01 21:42:00,1.0,20.0,22.671932274915676,22.38830672722535,22.87,0.3258480176488709
2024-08-01 21:43:00,1.0,20.0,22.671623553244913,22.388799557440006,22.87,0.3258480176488709
2024-08-01 21:44:00,1.0,20.0,22.67131573695549,22.389291300020425,22.87,0.3258480176488709
2024-08-01 21:45:00,1.0,20.0,22.671008823791006,22.38978195762255,22.87,0.3258480176488709
