,WasherDryer,TumbleDryer,BaseLoad
2024-01-05 12:45:00,0.001,0.001,0.5576
2024-01-05 13:00:00,0.001,0.001,0.6712666666666666
2024-01-05 13:15:00,0.001,0.001,0.5810666666666667
2024-01-05 13:30:00,0.001,0.001,0.048
2024-01-05 13:45:00,0.001,0.001,0.44780000000000003
2024-01-05 14:00:00,0.001,0.001,0.048
2024-01-05 14:15:00,0.001,0.001,0.09933333333333333
2024-01-05 14:30:00,0.001,0.001,0.16319999999999998
2024-01-05 14:45:00,0.001,0.001,0.061000000000000006
2024-01-05 15:00:00,0.001,0.001,0.061000000000000006
2024-01-05 15:15:00,0.001,0.001,0.5940666666666666
2024-01-05 15:30:00,0.001,0.001,0.061000000000000006
2024-01-05 15:45:00,0.001,0.001,0.4819333333333333
2024-01-05 16:00:00,0.001,0.001,0.158
2024-01-05 16:15:00,0.001,0.001,0.07733333333333332
2024-01-05 16:30:00,0.001,0.9808338158094145,0.11132666666666666
2024-01-05 16:45:00,0.001,1.8718670002722217,0.18685299796604626
2024-01-05 17:00:00,0.001,1.9694928551016753,0.1955237423726735
2024-01-05 17:15:00,0.001,1.8811419253958235,0.21165707570600684
2024-01-05 17:30:00,0.001,0.3366899832194773,0.42959040903934015
2024-01-05 17:45:00,0.001,0.001,1.3776688262144954
2024-01-05 18:00:00,0.001,0.001,2.4396999999999998
2024-01-05 18:15:00,0.001,0.001,2.436233333333333
2024-01-05 18:30:00,0.001,0.001,0.9716999999999999
2024-01-05 18:45:00,0.001,0.001,2.9597666666666664
2024-01-05 19:00:00,0.001,0.001,2.2171
2024-01-05 19:15:00,0.001,0.001,0.3950647484745347
2024-01-05 19:30:00,0.001,0.001,0.3165237423726735
2024-01-05 19:45:00,0.001,0.001,0.3165237423726735
2024-01-05 20:00:00,0.001,0.001,1.1161237423726733
2024-01-05 20:15:00,0.528356524038442,0.001,0.46105707570600685
2024-01-05 20:30:00,0.7920347860576631,0.001,0.3687942454236041
2024-01-05 20:45:00,0.7920347860576631,0.001,0.42769999999999997
2024-01-05 21:00:00,0.7920347860576631,0.001,0.33685707570600687
2024-01-05 21:15:00,0.7920347860576631,0.001,0.3165237423726735
2024-01-05 21:30:00,0.7920347860576631,0.001,0.3165237423726735
2024-01-05 21:45:00,0.7920347860576631,0.001,0.3165237423726735
2024-01-05 22:00:00,0.7920347860576631,0.001,0.33119040903934016
2024-01-05 22:15:00,0.7920347860576631,0.001,0.4257354928811619
2024-01-05 22:30:00,0.7920347860576631,0.001,0.3531904090393401
2024-01-05 22:45:00,0.7920347860576631,0.001,0.42692374237267344
2024-01-05 23:00:00,0.7920347860576631,0.001,0.32519040903934016
2024-01-05 23:15:00,0.31741391442306527,0.001,0.3295237423726735
2024-01-05 23:30:00,0.001,0.001,0.2842904090393402
2024-01-05 23:45:00,0.001,0.001,0.28915707570600685
2024-01-06 00:00:00,0.001,0.001,0.19815707570600685
